week_ending,state,metric,value
2015-06-08,US TOTAL,PCT GOOD_EXCELLENT,66.0
2015-06-15,US TOTAL,PCT GOOD_EXCELLENT,68.0
2015-06-22,US TOTAL,PCT GOOD_EXCELLENT,72.0
2015-06-29,US TOTAL,PCT GOOD_EXCELLENT,70.0
2015-07-06,US TOTAL,PCT GOOD_EXCELLENT,72.0
2015-07-13,US TOTAL,PCT GOOD_EXCELLENT,74.0
2015-07-20,US TOTAL,PCT GOOD_EXCELLENT,74.0
2015-07-27,US TOTAL,PCT GOOD_EXCELLENT,72.0
2015-08-03,US TOTAL,PCT GOOD_EXCELLENT,72.0
2015-08-10,US TOTAL,PCT GOOD_EXCELLENT,70.0
2015-08-17,US TOTAL,PCT GOOD_EXCELLENT,70.0
2015-08-24,US TOTAL,PCT GOOD_EXCELLENT,70.0
2015-08-31,US TOTAL,PCT GOOD_EXCELLENT,68.0
2015-09-07,US TOTAL,PCT GOOD_EXCELLENT,67.0
2015-09-14,US TOTAL,PCT GOOD_EXCELLENT,68.0
2015-09-21,US TOTAL,PCT GOOD_EXCELLENT,70.0
2015-09-28,US TOTAL,PCT GOOD_EXCELLENT,70.0
2015-10-05,US TOTAL,PCT GOOD_EXCELLENT,69.0
2015-10-12,US TOTAL,PCT GOOD_EXCELLENT,69.0
2015-10-19,US TOTAL,PCT GOOD_EXCELLENT,70.0
2015-10-26,US TOTAL,PCT GOOD_EXCELLENT,69.0
2015-11-02,US TOTAL,PCT GOOD_EXCELLENT,71.0
2015-11-09,US TOTAL,PCT GOOD_EXCELLENT,72.0
2015-11-16,US TOTAL,PCT GOOD_EXCELLENT,68.0
2015-11-23,US TOTAL,PCT GOOD_EXCELLENT,71.0
2015-11-30,US TOTAL,PCT GOOD_EXCELLENT,69.0
2016-06-06,US TOTAL,PCT GOOD_EXCELLENT,68.0
2016-06-13,US TOTAL,PCT GOOD_EXCELLENT,70.0
2016-06-20,US TOTAL,PCT GOOD_EXCELLENT,72.0
2016-06-27,US TOTAL,PCT GOOD_EXCELLENT,73.0
2016-07-04,US TOTAL,PCT GOOD_EXCELLENT,75.0
2016-07-11,US TOTAL,PCT GOOD_EXCELLENT,72.0
2016-07-18,US TOTAL,PCT GOOD_EXCELLENT,72.0
2016-07-25,US TOTAL,PCT GOOD_EXCELLENT,76.0
2016-08-01,US TOTAL,PCT GOOD_EXCELLENT,75.0
2016-08-08,US TOTAL,PCT GOOD_EXCELLENT,74.0
2016-08-15,US TOTAL,PCT GOOD_EXCELLENT,73.0
2016-08-22,US TOTAL,PCT GOOD_EXCELLENT,72.0
2016-08-29,US TOTAL,PCT GOOD_EXCELLENT,69.0
2016-09-05,US TOTAL,PCT GOOD_EXCELLENT,70.0
2016-09-12,US TOTAL,PCT GOOD_EXCELLENT,69.0
2016-09-19,US TOTAL,PCT GOOD_EXCELLENT,70.0
2016-09-26,US TOTAL,PCT GOOD_EXCELLENT,71.0
2016-10-03,US TOTAL,PCT GOOD_EXCELLENT,71.0
2016-10-10,US TOTAL,PCT GOOD_EXCELLENT,70.0
2016-10-17,US TOTAL,PCT GOOD_EXCELLENT,68.0
2016-10-24,US TOTAL,PCT GOOD_EXCELLENT,69.0
2016-10-31,US TOTAL,PCT GOOD_EXCELLENT,71.0
2016-11-07,US TOTAL,PCT GOOD_EXCELLENT,72.0
2016-11-14,US TOTAL,PCT GOOD_EXCELLENT,71.0
2016-11-21,US TOTAL,PCT GOOD_EXCELLENT,73.0
2016-11-28,US TOTAL,PCT GOOD_EXCELLENT,72.0
2017-06-05,US TOTAL,PCT GOOD_EXCELLENT,60.0
2017-06-12,US TOTAL,PCT GOOD_EXCELLENT,63.0
2017-06-19,US TOTAL,PCT GOOD_EXCELLENT,63.0
2017-06-26,US TOTAL,PCT GOOD_EXCELLENT,61.0
2017-07-03,US TOTAL,PCT GOOD_EXCELLENT,63.0
2017-07-10,US TOTAL,PCT GOOD_EXCELLENT,63.0
2017-07-17,US TOTAL,PCT GOOD_EXCELLENT,61.0
2017-07-24,US TOTAL,PCT GOOD_EXCELLENT,61.0
2017-07-31,US TOTAL,PCT GOOD_EXCELLENT,61.0
2017-08-07,US TOTAL,PCT GOOD_EXCELLENT,59.0
2017-08-14,US TOTAL,PCT GOOD_EXCELLENT,59.0
2017-08-21,US TOTAL,PCT GOOD_EXCELLENT,57.0
2017-08-28,US TOTAL,PCT GOOD_EXCELLENT,57.0
2017-09-04,US TOTAL,PCT GOOD_EXCELLENT,57.0
2017-09-11,US TOTAL,PCT GOOD_EXCELLENT,58.0
2017-09-18,US TOTAL,PCT GOOD_EXCELLENT,60.0
2017-09-25,US TOTAL,PCT GOOD_EXCELLENT,61.0
2017-10-02,US TOTAL,PCT GOOD_EXCELLENT,63.0
2017-10-09,US TOTAL,PCT GOOD_EXCELLENT,65.0
2017-10-16,US TOTAL,PCT GOOD_EXCELLENT,63.0
2017-10-23,US TOTAL,PCT GOOD_EXCELLENT,62.0
2017-10-30,US TOTAL,PCT GOOD_EXCELLENT,64.0
2017-11-06,US TOTAL,PCT GOOD_EXCELLENT,63.0
2017-11-13,US TOTAL,PCT GOOD_EXCELLENT,64.0
2017-11-20,US TOTAL,PCT GOOD_EXCELLENT,63.0
2017-11-27,US TOTAL,PCT GOOD_EXCELLENT,62.0
2018-06-04,US TOTAL,PCT GOOD_EXCELLENT,64.0
2018-06-11,US TOTAL,PCT GOOD_EXCELLENT,66.0
2018-06-18,US TOTAL,PCT GOOD_EXCELLENT,66.0
2018-06-25,US TOTAL,PCT GOOD_EXCELLENT,67.0
2018-07-02,US TOTAL,PCT GOOD_EXCELLENT,66.0
2018-07-09,US TOTAL,PCT GOOD_EXCELLENT,65.0
2018-07-16,US TOTAL,PCT GOOD_EXCELLENT,65.0
2018-07-23,US TOTAL,PCT GOOD_EXCELLENT,65.0
2018-07-30,US TOTAL,PCT GOOD_EXCELLENT,65.0
2018-08-06,US TOTAL,PCT GOOD_EXCELLENT,66.0
2018-08-13,US TOTAL,PCT GOOD_EXCELLENT,62.0
2018-08-20,US TOTAL,PCT GOOD_EXCELLENT,62.0
2018-08-27,US TOTAL,PCT GOOD_EXCELLENT,61.0
2018-09-03,US TOTAL,PCT GOOD_EXCELLENT,60.0
2018-09-10,US TOTAL,PCT GOOD_EXCELLENT,63.0
2018-09-17,US TOTAL,PCT GOOD_EXCELLENT,65.0
2018-09-24,US TOTAL,PCT GOOD_EXCELLENT,65.0
2018-10-01,US TOTAL,PCT GOOD_EXCELLENT,64.0
2018-10-08,US TOTAL,PCT GOOD_EXCELLENT,65.0
2018-10-15,US TOTAL,PCT GOOD_EXCELLENT,67.0
2018-10-22,US TOTAL,PCT GOOD_EXCELLENT,66.0
2018-10-29,US TOTAL,PCT GOOD_EXCELLENT,64.0
2018-11-05,US TOTAL,PCT GOOD_EXCELLENT,67.0
2018-11-12,US TOTAL,PCT GOOD_EXCELLENT,70.0
2018-11-19,US TOTAL,PCT GOOD_EXCELLENT,69.0
2018-11-26,US TOTAL,PCT GOOD_EXCELLENT,69.0
2019-06-03,US TOTAL,PCT GOOD_EXCELLENT,57.0
2019-06-10,US TOTAL,PCT GOOD_EXCELLENT,56.0
2019-06-17,US TOTAL,PCT GOOD_EXCELLENT,55.0
2019-06-24,US TOTAL,PCT GOOD_EXCELLENT,56.0
2019-07-01,US TOTAL,PCT GOOD_EXCELLENT,54.0
2019-07-08,US TOTAL,PCT GOOD_EXCELLENT,53.0
2019-07-15,US TOTAL,PCT GOOD_EXCELLENT,53.0
2019-07-22,US TOTAL,PCT GOOD_EXCELLENT,53.0
2019-07-29,US TOTAL,PCT GOOD_EXCELLENT,53.0
2019-08-05,US TOTAL,PCT GOOD_EXCELLENT,52.0
2019-08-12,US TOTAL,PCT GOOD_EXCELLENT,51.0
2019-08-19,US TOTAL,PCT GOOD_EXCELLENT,51.0
2019-08-26,US TOTAL,PCT GOOD_EXCELLENT,52.0
2019-09-02,US TOTAL,PCT GOOD_EXCELLENT,50.0
2019-09-09,US TOTAL,PCT GOOD_EXCELLENT,49.0
2019-09-16,US TOTAL,PCT GOOD_EXCELLENT,51.0
2019-09-23,US TOTAL,PCT GOOD_EXCELLENT,52.0
2019-09-30,US TOTAL,PCT GOOD_EXCELLENT,50.0
2019-10-07,US TOTAL,PCT GOOD_EXCELLENT,51.0
2019-10-14,US TOTAL,PCT GOOD_EXCELLENT,52.0
2019-10-21,US TOTAL,PCT GOOD_EXCELLENT,50.0
2019-10-28,US TOTAL,PCT GOOD_EXCELLENT,50.0
2019-11-04,US TOTAL,PCT GOOD_EXCELLENT,49.0
2019-11-11,US TOTAL,PCT GOOD_EXCELLENT,49.0
2019-11-18,US TOTAL,PCT GOOD_EXCELLENT,48.0
2019-11-25,US TOTAL,PCT GOOD_EXCELLENT,51.0
2020-06-01,US TOTAL,PCT GOOD_EXCELLENT,55.0
2020-06-08,US TOTAL,PCT GOOD_EXCELLENT,56.0
2020-06-15,US TOTAL,PCT GOOD_EXCELLENT,57.0
2020-06-22,US TOTAL,PCT GOOD_EXCELLENT,57.0
2020-06-29,US TOTAL,PCT GOOD_EXCELLENT,57.0
2020-07-06,US TOTAL,PCT GOOD_EXCELLENT,57.0
2020-07-13,US TOTAL,PCT GOOD_EXCELLENT,58.0
2020-07-20,US TOTAL,PCT GOOD_EXCELLENT,56.0
2020-07-27,US TOTAL,PCT GOOD_EXCELLENT,54.0
2020-08-03,US TOTAL,PCT GOOD_EXCELLENT,54.0
2020-08-10,US TOTAL,PCT GOOD_EXCELLENT,50.0
2020-08-17,US TOTAL,PCT GOOD_EXCELLENT,49.0
2020-08-24,US TOTAL,PCT GOOD_EXCELLENT,49.0
2020-08-31,US TOTAL,PCT GOOD_EXCELLENT,48.0
2020-09-07,US TOTAL,PCT GOOD_EXCELLENT,49.0
2020-09-14,US TOTAL,PCT GOOD_EXCELLENT,44.0
2020-09-21,US TOTAL,PCT GOOD_EXCELLENT,43.0
2020-09-28,US TOTAL,PCT GOOD_EXCELLENT,43.0
2020-10-05,US TOTAL,PCT GOOD_EXCELLENT,41.0
2020-10-12,US TOTAL,PCT GOOD_EXCELLENT,41.0
2020-10-19,US TOTAL,PCT GOOD_EXCELLENT,43.0
2020-10-26,US TOTAL,PCT GOOD_EXCELLENT,43.0
2020-11-02,US TOTAL,PCT GOOD_EXCELLENT,43.0
2020-11-09,US TOTAL,PCT GOOD_EXCELLENT,44.0
2020-11-16,US TOTAL,PCT GOOD_EXCELLENT,43.0
2020-11-23,US TOTAL,PCT GOOD_EXCELLENT,42.0
2020-11-30,US TOTAL,PCT GOOD_EXCELLENT,45.0
2021-06-07,US TOTAL,PCT GOOD_EXCELLENT,57.0
2021-06-14,US TOTAL,PCT GOOD_EXCELLENT,57.0
2021-06-21,US TOTAL,PCT GOOD_EXCELLENT,57.0
2021-06-28,US TOTAL,PCT GOOD_EXCELLENT,58.0
2021-07-05,US TOTAL,PCT GOOD_EXCELLENT,61.0
2021-07-12,US TOTAL,PCT GOOD_EXCELLENT,61.0
2021-07-19,US TOTAL,PCT GOOD_EXCELLENT,61.0
2021-07-26,US TOTAL,PCT GOOD_EXCELLENT,63.0
2021-08-02,US TOTAL,PCT GOOD_EXCELLENT,62.0
2021-08-09,US TOTAL,PCT GOOD_EXCELLENT,65.0
2021-08-16,US TOTAL,PCT GOOD_EXCELLENT,63.0
2021-08-23,US TOTAL,PCT GOOD_EXCELLENT,62.0
2021-08-30,US TOTAL,PCT GOOD_EXCELLENT,59.0
2021-09-06,US TOTAL,PCT GOOD_EXCELLENT,58.0
2021-09-13,US TOTAL,PCT GOOD_EXCELLENT,59.0
2021-09-20,US TOTAL,PCT GOOD_EXCELLENT,55.0
2021-09-27,US TOTAL,PCT GOOD_EXCELLENT,57.0
2021-10-04,US TOTAL,PCT GOOD_EXCELLENT,55.0
2021-10-11,US TOTAL,PCT GOOD_EXCELLENT,56.0
2021-10-18,US TOTAL,PCT GOOD_EXCELLENT,56.0
2021-10-25,US TOTAL,PCT GOOD_EXCELLENT,57.0
2021-11-01,US TOTAL,PCT GOOD_EXCELLENT,55.0
2021-11-08,US TOTAL,PCT GOOD_EXCELLENT,53.0
2021-11-15,US TOTAL,PCT GOOD_EXCELLENT,52.0
2021-11-22,US TOTAL,PCT GOOD_EXCELLENT,55.0
2021-11-29,US TOTAL,PCT GOOD_EXCELLENT,55.0
2022-06-06,US TOTAL,PCT GOOD_EXCELLENT,75.0
2022-06-13,US TOTAL,PCT GOOD_EXCELLENT,76.0
2022-06-20,US TOTAL,PCT GOOD_EXCELLENT,76.0
2022-06-27,US TOTAL,PCT GOOD_EXCELLENT,78.0
2022-07-04,US TOTAL,PCT GOOD_EXCELLENT,77.0
2022-07-11,US TOTAL,PCT GOOD_EXCELLENT,79.0
2022-07-18,US TOTAL,PCT GOOD_EXCELLENT,79.0
2022-07-25,US TOTAL,PCT GOOD_EXCELLENT,78.0
2022-08-01,US TOTAL,PCT GOOD_EXCELLENT,77.0
2022-08-08,US TOTAL,PCT GOOD_EXCELLENT,78.0
2022-08-15,US TOTAL,PCT GOOD_EXCELLENT,78.0
2022-08-22,US TOTAL,PCT GOOD_EXCELLENT,76.0
2022-08-29,US TOTAL,PCT GOOD_EXCELLENT,76.0
2022-09-05,US TOTAL,PCT GOOD_EXCELLENT,79.0
2022-09-12,US TOTAL,PCT GOOD_EXCELLENT,77.0
2022-09-19,US TOTAL,PCT GOOD_EXCELLENT,77.0
2022-09-26,US TOTAL,PCT GOOD_EXCELLENT,78.0
2022-10-03,US TOTAL,PCT GOOD_EXCELLENT,77.0
2022-10-10,US TOTAL,PCT GOOD_EXCELLENT,79.0
2022-10-17,US TOTAL,PCT GOOD_EXCELLENT,80.0
2022-10-24,US TOTAL,PCT GOOD_EXCELLENT,83.0
2022-10-31,US TOTAL,PCT GOOD_EXCELLENT,84.0
2022-11-07,US TOTAL,PCT GOOD_EXCELLENT,85.0
2022-11-14,US TOTAL,PCT GOOD_EXCELLENT,88.0
2022-11-21,US TOTAL,PCT GOOD_EXCELLENT,88.0
2022-11-28,US TOTAL,PCT GOOD_EXCELLENT,92.0
2023-06-05,US TOTAL,PCT GOOD_EXCELLENT,68.0
2023-06-12,US TOTAL,PCT GOOD_EXCELLENT,70.0
2023-06-19,US TOTAL,PCT GOOD_EXCELLENT,68.0
2023-06-26,US TOTAL,PCT GOOD_EXCELLENT,69.0
2023-07-03,US TOTAL,PCT GOOD_EXCELLENT,68.0
2023-07-10,US TOTAL,PCT GOOD_EXCELLENT,68.0
2023-07-17,US TOTAL,PCT GOOD_EXCELLENT,68.0
2023-07-24,US TOTAL,PCT GOOD_EXCELLENT,65.0
2023-07-31,US TOTAL,PCT GOOD_EXCELLENT,64.0
2023-08-07,US TOTAL,PCT GOOD_EXCELLENT,64.0
2023-08-14,US TOTAL,PCT GOOD_EXCELLENT,65.0
2023-08-21,US TOTAL,PCT GOOD_EXCELLENT,66.0
2023-08-28,US TOTAL,PCT GOOD_EXCELLENT,66.0
2023-09-04,US TOTAL,PCT GOOD_EXCELLENT,70.0
2023-09-11,US TOTAL,PCT GOOD_EXCELLENT,71.0
2023-09-18,US TOTAL,PCT GOOD_EXCELLENT,71.0
2023-09-25,US TOTAL,PCT GOOD_EXCELLENT,69.0
2023-10-02,US TOTAL,PCT GOOD_EXCELLENT,69.0
2023-10-09,US TOTAL,PCT GOOD_EXCELLENT,72.0
2023-10-16,US TOTAL,PCT GOOD_EXCELLENT,73.0
2023-10-23,US TOTAL,PCT GOOD_EXCELLENT,73.0
2023-10-30,US TOTAL,PCT GOOD_EXCELLENT,73.0
2023-11-06,US TOTAL,PCT GOOD_EXCELLENT,74.0
2023-11-13,US TOTAL,PCT GOOD_EXCELLENT,73.0
2023-11-20,US TOTAL,PCT GOOD_EXCELLENT,73.0
2023-11-27,US TOTAL,PCT GOOD_EXCELLENT,73.0
2024-06-03,US TOTAL,PCT GOOD_EXCELLENT,67.0
2024-06-10,US TOTAL,PCT GOOD_EXCELLENT,64.0
2024-06-17,US TOTAL,PCT GOOD_EXCELLENT,66.0
2024-06-24,US TOTAL,PCT GOOD_EXCELLENT,65.0
2024-07-01,US TOTAL,PCT GOOD_EXCELLENT,67.0
2024-07-08,US TOTAL,PCT GOOD_EXCELLENT,68.0
2024-07-15,US TOTAL,PCT GOOD_EXCELLENT,66.0
2024-07-22,US TOTAL,PCT GOOD_EXCELLENT,65.0
2024-07-29,US TOTAL,PCT GOOD_EXCELLENT,64.0
2024-08-05,US TOTAL,PCT GOOD_EXCELLENT,63.0
2024-08-12,US TOTAL,PCT GOOD_EXCELLENT,64.0
2024-08-19,US TOTAL,PCT GOOD_EXCELLENT,65.0
2024-08-26,US TOTAL,PCT GOOD_EXCELLENT,66.0
2024-09-02,US TOTAL,PCT GOOD_EXCELLENT,67.0
2024-09-09,US TOTAL,PCT GOOD_EXCELLENT,68.0
2024-09-16,US TOTAL,PCT GOOD_EXCELLENT,69.0
2024-09-23,US TOTAL,PCT GOOD_EXCELLENT,68.0
2024-09-30,US TOTAL,PCT GOOD_EXCELLENT,66.0
2024-10-07,US TOTAL,PCT GOOD_EXCELLENT,67.0
2024-10-14,US TOTAL,PCT GOOD_EXCELLENT,66.0
2024-10-21,US TOTAL,PCT GOOD_EXCELLENT,66.0
2024-10-28,US TOTAL,PCT GOOD_EXCELLENT,67.0
2024-11-04,US TOTAL,PCT GOOD_EXCELLENT,69.0
2024-11-11,US TOTAL,PCT GOOD_EXCELLENT,70.0
2024-11-18,US TOTAL,PCT GOOD_EXCELLENT,68.0
2024-11-25,US TOTAL,PCT GOOD_EXCELLENT,65.0
